,fecha,Consumo,Cargo fijo,Cargo variable,Dias,subsidio,Total,Tipo,Precio kWh,Dia,precio_kWh,inflacion_acumulada,T_mean,T_max,T_min,longitud,latitud,precio_kWh_norm,use,precio_kWh_norm_nan,precio_kWh_norm_new
71,2006-03-13,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0207504616036152,22.95,29.24,17.09,-58.2813,-34.8115,0.25313463938489866,-1,,0.12868864945738231
72,2006-03-14,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0211433144150033,21.23,24.71,18.8,-58.2813,-34.8115,0.2530372537845248,-1,,0.12868864945738231
73,2006-03-15,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0215363184223372,20.36,25.45,17.09,-58.2813,-34.8115,0.25293990565020136,-1,,0.12868864945738231
74,2006-03-16,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.021929473683807,20.27,24.64,15.91,-58.2813,-34.8115,0.25284259496751443,-1,,0.12868864945738231
75,2006-03-17,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0223227802576254,16.23,20.49,13.48,-58.2813,-34.8115,0.2527453217220557,-1,,0.12868864945738231
76,2006-03-18,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0227162382020276,16.48,21.87,12.57,-58.2813,-34.8115,0.2526480858994224,-1,,0.12868864945738231
77,2006-03-19,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0231098475752711,18.46,23.98,12.64,-58.2813,-34.8115,0.25255088748521715,-1,,0.12868864945738231
78,2006-03-20,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.023503608435636,19.79,25.96,15.29,-58.2813,-34.8115,0.2524537264650484,-1,,0.12868864945738231
79,2006-03-21,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0238975208414245,18.41,23.18,13.65,-58.2813,-34.8115,0.2523566028245297,-1,,0.12868864945738231
80,2006-03-22,37,4.44,3.03,58,,9.5603301,,,,0.2583873,1.0242915848509608,20.91,25.66,17.34,-58.2813,-34.8115,0.25225951654928075,-1,,0.12868864945738231
